,BookMakers,BookMakersLinks,Key,Name
0,l18,/bookmaker/pinnacle/,18,pinnacle
1,l390,/bookmaker/matchbook/,390,matchbook
2,l476,/bookmaker/asianodds/,476,asianodds
3,l15,/bookmaker/william-hill/,15,william-hill
4,l468,/bookmaker/coolbet/,468,coolbet
5,l381,/bookmaker/marathonbet/,381,marathonbet
6,l5,/bookmaker/unibet/,5,unibet
7,l514,/bookmaker/betjoe/,514,betjoe
8,l2,/bookmaker/bwin/,2,bwin
9,l417,/bookmaker/1xbet/,417,1xbet
10,l543,/bookmaker/betago/,543,betago
11,l3,/bookmaker/bet-at-home/,3,bet-at-home
12,l14,/bookmaker/10bet/,14,10bet
13,l56,/bookmaker/188bet/,56,188bet
14,l27,/bookmaker/888sport/,27,888sport
15,l32,/bookmaker/betclic/,32,betclic
16,l429,/bookmaker/betfair/,429,betfair
17,l21,/bookmaker/betfred/,21,betfred
18,l24,/bookmaker/betsafe/,24,betsafe
19,l43,/bookmaker/betsson/,43,betsson
20,l76,/bookmaker/betvictor/,76,betvictor
21,l26,/bookmaker/betway/,26,betway
22,l30,/bookmaker/boylesports/,30,boylesports
23,l383,/bookmaker/comeon/,383,comeon
24,l147,/bookmaker/dafabet/,147,dafabet
25,l9,/bookmaker/expekt/,9,expekt
26,l550,/bookmaker/ggbet/,550,ggbet
27,l31,/bookmaker/intertops/,31,intertops
28,l1,/bookmaker/interwetten/,1,interwetten
29,l57,/bookmaker/jetbull/,57,jetbull
30,l73,/bookmaker/leonbets/,73,leonbets
31,l33,/bookmaker/nordicbet/,33,nordicbet
32,l393,/bookmaker/oddsring/,393,oddsring
33,l75,/bookmaker/sbobet/,75,sbobet
34,l128,/bookmaker/youwin/,128,youwin
35,l44,/bookmaker/betfair-exchange/,44,betfair-exchange
36,l16,,16,bet365
