,Country,Tournament,Year of Tournament,Tournament Surface,Doubles,Prize Money,Match Day,Start Time,Player Name 1,Player Name 2,Winner,Sets,Score,BKNAME,numbetlines,FullClosingFullHomeAsianOdds,FullClosingFullAwayAsianOdds,FullClosingOutcomeTiming,FullOpeningFullAsianHomeOdds,FullOpeningFullAsianAwayOdds,FullOpeningOutcomeTiming,FullAsianHomeVolume,FullAsianAwayVolume,FullAsianHomeLayClosingOdds,FullAsianAwayLayClosingOdds,FullAsianHomeLayOpeningOdds,FullAsianAwayLayOpeningOdds,FullLayClosingTime,FullLayOpenClosingTime,FullLayAsianHomeVolume,FullLayAsianAwayVolume,Set1ClosingFullHomeAsianOdds,Set1ClosingFullAwayAsianOdds,Set1ClosingOutcomeTiming,Set1OpeningFullAsianHomeOdds,Set1OpeningFullAsianAwayOdds,Set1OpeningOutcomeTiming,Set1AsianHomeVolume,Set1AsianAwayVolume,Set1AsianHomeLayClosingOdds,Set1AsianAwayLayClosingOdds,Set1AsianHomeLayOpeningOdds,Set1AsianAwayLayOpeningOdds,Set1LayClosingTime,Set1LayOpenClosingTime,Set1LayAsianHomeVolume,Set1LayAsianAwayVolume,Set2ClosingFullHomeAsianOdds,Set2ClosingFullAwayAsianOdds,Set2ClosingOutcomeTiming,Set2OpeningFullAsianHomeOdds,Set2OpeningFullAsianAwayOdds,Set2OpeningOutcomeTiming,Set2AsianHomeVolume,Set2AsianAwayVolume,Set2AsianHomeLayClosingOdds,Set2AsianAwayLayClosingOdds,Set2AsianHomeLayOpeningOdds,Set2AsianAwayLayOpeningOdds,Set2LayClosingTime,Set2LayOpenClosingTime,Set2LayAsianHomeVolume,Set2LayAsianAwayVolume
0,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",interwetten,E-5-2-1-2.5-0,3.6,1.25,2017-01-18 03:51:34,4.0,1.2,2017-01-17 07:35:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",149,E-5-2-1-2.5-0,3.6,1.25,2017-01-18 03:42:59,4.0,1.2,2017-01-17 07:38:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",pinnacle,E-5-2-1-2.5-0,4.14,1.28,2017-01-18 19:18:41,4.46,1.25,2017-01-17 07:55:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",sbobet,E-5-2-1-2.5-0,3.43,1.25,2017-01-18 08:48:36,3.32,1.27,2017-01-17 08:43:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betway,E-5-2-1-2.5-0,3.75,1.25,2017-01-17 15:56:48,4.0,1.22,2017-01-17 09:28:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",157,E-5-2-1-2.5-0,3.85,1.25,2017-01-17 11:11:37,3.85,1.25,2017-01-17 11:11:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",unibet,E-5-2-1-2.5-0,3.85,1.25,2017-01-17 11:18:14,3.85,1.25,2017-01-17 11:18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",comeon,E-5-2-1-2.5-0,3.85,1.22,2017-01-17 19:02:00,4.6,1.14,2017-01-17 14:07:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",10bet,E-5-2-1-2.5-0,3.9,1.22,2017-01-17 19:02:10,4.7,1.14,2017-01-17 14:08:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",188bet,E-5-2-1-2.5-0,3.63,1.22,2017-01-18 22:08:23,3.12,1.27,2017-01-17 14:55:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",jetbull,E-5-2-1-2.5-0,3.8,1.2,2017-01-18 05:01:18,3.7,1.22,2017-01-17 14:57:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betsson,E-5-2-1-2.5-0,3.5,1.25,2017-01-18 01:56:55,3.55,1.25,2017-01-17 15:06:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
