,Country,Tournament,Year of Tournament,Tournament Surface,Doubles,Prize Money,Match Day,Start Time,Player Name 1,Player Name 2,Winner,Sets,Score,BKNAME,numbetlines,FullClosingFullHomeAsianOdds,FullClosingFullAwayAsianOdds,FullClosingOutcomeTiming,FullOpeningFullAsianHomeOdds,FullOpeningFullAsianAwayOdds,FullOpeningOutcomeTiming,FullAsianHomeVolume,FullAsianAwayVolume,FullAsianHomeLayClosingOdds,FullAsianAwayLayClosingOdds,FullAsianHomeLayOpeningOdds,FullAsianAwayLayOpeningOdds,FullLayClosingTime,FullLayOpenClosingTime,FullLayAsianHomeVolume,FullLayAsianAwayVolume,Set1ClosingFullHomeAsianOdds,Set1ClosingFullAwayAsianOdds,Set1ClosingOutcomeTiming,Set1OpeningFullAsianHomeOdds,Set1OpeningFullAsianAwayOdds,Set1OpeningOutcomeTiming,Set1AsianHomeVolume,Set1AsianAwayVolume,Set1AsianHomeLayClosingOdds,Set1AsianAwayLayClosingOdds,Set1AsianHomeLayOpeningOdds,Set1AsianAwayLayOpeningOdds,Set1LayClosingTime,Set1LayOpenClosingTime,Set1LayAsianHomeVolume,Set1LayAsianAwayVolume,Set2ClosingFullHomeAsianOdds,Set2ClosingFullAwayAsianOdds,Set2ClosingOutcomeTiming,Set2OpeningFullAsianHomeOdds,Set2OpeningFullAsianAwayOdds,Set2OpeningOutcomeTiming,Set2AsianHomeVolume,Set2AsianAwayVolume,Set2AsianHomeLayClosingOdds,Set2AsianAwayLayClosingOdds,Set2AsianHomeLayOpeningOdds,Set2AsianAwayLayOpeningOdds,Set2LayClosingTime,Set2LayOpenClosingTime,Set2LayAsianHomeVolume,Set2LayAsianAwayVolume,Set3ClosingFullHomeAsianOdds,Set3ClosingFullAwayAsianOdds,Set3ClosingOutcomeTiming,Set3OpeningFullAsianHomeOdds,Set3OpeningFullAsianAwayOdds,Set3OpeningOutcomeTiming,Set3AsianHomeVolume,Set3AsianAwayVolume,Set3AsianHomeLayClosingOdds,Set3AsianAwayLayClosingOdds,Set3AsianHomeLayOpeningOdds,Set3AsianAwayLayOpeningOdds,Set3LayClosingTime,Set3LayOpenClosingTime,Set3LayAsianHomeVolume,Set3LayAsianAwayVolume
0,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",45,E-8-2-0-0-11,45.0,,2017-01-17 08:05:47,29.0,,2017-01-17 06:46:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",411,E-8-2-0-0-11,45.0,,2017-01-17 08:05:55,29.0,,2017-01-17 06:46:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",49,E-8-2-0-0-11,45.0,,2017-01-17 08:05:50,29.0,,2017-01-17 06:46:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",419,E-8-2-0-0-11,51.0,,2017-01-17 16:38:02,41.0,,2017-01-17 07:01:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",bet365,E-8-2-0-0-11,51.0,,2017-01-17 16:38:52,41.0,,2017-01-17 07:01:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",jetbull,E-8-2-0-0-11,51.0,,2017-01-17 12:10:14,41.0,,2017-01-17 07:13:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betvictor,E-8-2-0-0-11,101.0,,2017-01-18 00:49:56,46.0,,2017-01-17 07:30:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",interwetten,E-8-2-0-0-11,60.0,,2017-01-18 03:55:34,40.0,,2017-01-17 07:35:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",149,E-8-2-0-0-11,60.0,,2017-01-18 03:42:59,40.0,,2017-01-17 07:38:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",455,E-8-2-0-0-11,50.0,,2017-01-17 12:34:00,74.0,,2017-01-17 08:02:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
