,Country,Tournament,Year of Tournament,Tournament Surface,Doubles,Prize Money,Match Day,Start Time,Player Name 1,Player Name 2,Winner,Sets,Score,BKNAME,numbetlines,FullClosingFullHomeAsianOdds,FullClosingFullAwayAsianOdds,FullClosingOutcomeTiming,FullOpeningFullAsianHomeOdds,FullOpeningFullAsianAwayOdds,FullOpeningOutcomeTiming,FullAsianHomeVolume,FullAsianAwayVolume,FullAsianHomeLayClosingOdds,FullAsianAwayLayClosingOdds,FullAsianHomeLayOpeningOdds,FullAsianAwayLayOpeningOdds,FullLayClosingTime,FullLayOpenClosingTime,FullLayAsianHomeVolume,FullLayAsianAwayVolume,Set1ClosingFullHomeAsianOdds,Set1ClosingFullAwayAsianOdds,Set1ClosingOutcomeTiming,Set1OpeningFullAsianHomeOdds,Set1OpeningFullAsianAwayOdds,Set1OpeningOutcomeTiming,Set1AsianHomeVolume,Set1AsianAwayVolume,Set1AsianHomeLayClosingOdds,Set1AsianAwayLayClosingOdds,Set1AsianHomeLayOpeningOdds,Set1AsianAwayLayOpeningOdds,Set1LayClosingTime,Set1LayOpenClosingTime,Set1LayAsianHomeVolume,Set1LayAsianAwayVolume,Set2ClosingFullHomeAsianOdds,Set2ClosingFullAwayAsianOdds,Set2ClosingOutcomeTiming,Set2OpeningFullAsianHomeOdds,Set2OpeningFullAsianAwayOdds,Set2OpeningOutcomeTiming,Set2AsianHomeVolume,Set2AsianAwayVolume,Set2AsianHomeLayClosingOdds,Set2AsianAwayLayClosingOdds,Set2AsianHomeLayOpeningOdds,Set2AsianAwayLayOpeningOdds,Set2LayClosingTime,Set2LayOpenClosingTime,Set2LayAsianHomeVolume,Set2LayAsianAwayVolume
0,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",453,E-10-2-2-0-0,1.9,1.9,2017-01-17 06:45:13,1.9,1.9,2017-01-17 06:45:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",marathonbet,E-10-2-2-0-0,1.9,1.9,2017-01-17 06:45:38,1.9,1.9,2017-01-17 06:45:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",455,E-10-2-2-0-0,1.85,1.85,2017-01-17 07:03:22,1.85,1.85,2017-01-17 07:03:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",leonbets,E-10-2-2-0-0,1.85,1.85,2017-01-17 07:04:27,1.85,1.85,2017-01-17 07:04:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",oddsring,E-10-2-2-0-0,1.85,1.85,2017-01-17 07:18:29,1.85,1.85,2017-01-17 07:18:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betvictor,E-10-2-2-0-0,1.91,1.91,2017-01-17 07:30:54,1.91,1.91,2017-01-17 07:30:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",william-hill,E-10-2-2-0-0,1.91,1.91,2017-01-17 08:09:55,1.91,1.91,2017-01-17 08:09:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",jetbull,E-10-2-2-0-0,1.85,1.85,2017-01-17 08:13:00,1.85,1.85,2017-01-17 08:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betsson,E-10-2-2-0-0,1.86,1.86,2017-01-17 08:21:44,1.86,1.86,2017-01-17 08:21:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betsafe,E-10-2-2-0-0,1.86,1.86,2017-01-17 08:22:00,1.86,1.86,2017-01-17 08:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",nordicbet,E-10-2-2-0-0,1.86,1.86,2017-01-17 08:23:22,1.86,1.86,2017-01-17 08:23:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",454,E-10-2-2-0-0,1.83,1.83,2017-01-17 08:58:06,1.83,1.83,2017-01-17 08:58:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",414,E-10-2-2-0-0,1.9,1.9,2017-01-17 09:21:25,1.9,1.9,2017-01-17 09:21:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
