,Country,Tournament,Year of Tournament,Tournament Surface,Doubles,Prize Money,Match Day,Start Time,Player Name 1,Player Name 2,Winner,Sets,Score,BKNAME,FullClosingFullHomeOdds,FullClosingFullAwayOdds,FullClosingOutcomeTiming,FullOpeningFullHomeOdds,FullOpeningFullAwayOdds,FullOpeningOutcomeTiming,FullHomeVolume,FullAwayVolume,FullHomeLayClosingOdds,FullAwayLayClosingOdds,FullHomeLayOpeningOdds,FullAwayLayOpeningOdds,FullLayClosingTime,FullLayOpenClosingTime,FullLayHomeVolume,FullLayAwayVolume,Set1ClosingFullHomeOdds,Set1ClosingFullAwayOdds,Set1ClosingOutcomeTiming,Set1OpeningFullHomeOdds,Set1OpeningFullAwayOdds,Set1OpeningOutcomeTiming,Set1HomeVolume,Set1AwayVolume,Set1HomeLayClosingOdds,Set1AwayLayClosingOdds,Set1HomeLayOpeningOdds,Set1AwayLayOpeningOdds,Set1LayClosingTime,Set1LayOpenClosingTime,Set1LayHomeVolume,Set1LayAwayVolume,Set2ClosingFullHomeOdds,Set2ClosingFullAwayOdds,Set2ClosingOutcomeTiming,Set2OpeningFullHomeOdds,Set2OpeningFullAwayOdds,Set2OpeningOutcomeTiming,Set2HomeVolume,Set2AwayVolume,Set2HomeLayClosingOdds,Set2AwayLayClosingOdds,Set2HomeLayOpeningOdds,Set2AwayLayOpeningOdds,Set2LayClosingTime,Set2LayOpenClosingTime,Set2LayHomeVolume,Set2LayAwayVolume,Set3ClosingFullHomeOdds,Set3ClosingFullAwayOdds,Set3ClosingOutcomeTiming,Set3OpeningFullHomeOdds,Set3OpeningFullAwayOdds,Set3OpeningOutcomeTiming,Set3HomeVolume,Set3AwayVolume,Set3HomeLayClosingOdds,Set3AwayLayClosingOdds,Set3HomeLayOpeningOdds,Set3AwayLayOpeningOdds,Set3LayClosingTime,Set3LayOpenClosingTime,Set3LayHomeVolume,Set3LayAwayVolume
0,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",46,1.01,19.5,2017-01-17 06:21:15,1.01,19.5,2017-01-17 06:21:15,,,,,,,,,,,6.7,1.07,2017-01-17 06:21:15,6.7,1.07,2017-01-17 06:21:15,,,,,,,,,,,1.04,8.1,2017-01-17 06:21:15,1.04,8.1,2017-01-17 06:21:15,,,,,,,,,,,1.02,9.0,2017-01-17 06:21:15,1.02,9.0,2017-01-17 06:21:15,,,,,,,,,,
1,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",betfair-exchange,1.01,65.0,2017-01-18 22:23:07,1.02,34.0,2017-01-17 06:36:19,259016,36,1.02,80,1.03,55,2017-01-18 22:23:07,2017-01-17 06:36:19,169553,15,8.2,1.08,2017-01-18 22:21:19,1.03,1.03,2017-01-17 06:36:19,70,1091,13.5,1.14,110,1.21,2017-01-18 22:19:32,2017-01-17 07:17:34,87,1013,1.07,8.2,2017-01-18 22:21:19,1.03,1.03,2017-01-17 06:36:19,1079,70,1.14,15,3.6,15,2017-01-18 22:21:19,2017-01-18 17:24:13,1013,38,1.07,9.2,2017-01-18 22:21:19,1.03,1.03,2017-01-17 06:36:19,540,126,1.12,15.5,3.6,15.5,2017-01-18 22:21:19,2017-01-18 17:24:13,515,74
2,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",453,1.01,34.0,2017-01-18 17:17:56,1.02,27.0,2017-01-17 06:45:13,,,,,,,,,,,8.1,1.08,2017-01-17 07:54:17,7.0,1.1,2017-01-17 07:01:46,,,,,,,,,,,1.08,8.1,2017-01-17 19:20:53,1.08,7.3,2017-01-17 08:04:17,,,,,,,,,,,,,,,,,,,,,,,,,,
3,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",marathonbet,1.01,31.0,2017-01-18 17:13:37,1.02,26.0,2017-01-17 06:45:38,,,,,,,,,,,7.9,1.08,2017-01-17 19:19:18,7.9,1.08,2017-01-17 19:19:18,,,,,,,,,,,1.08,7.9,2017-01-17 19:19:18,1.08,7.9,2017-01-17 19:19:18,,,,,,,,,,,1.09,7.4,2017-01-17 19:19:18,1.09,7.4,2017-01-17 19:19:18,,,,,,,,,,
4,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",45,1.01,16.0,2017-01-17 07:25:52,1.02,8.9,2017-01-17 06:46:12,,,,,,,,,,,7.4,1.06,2017-01-18 08:46:09,6.5,1.05,2017-01-17 06:46:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",1xbet,1.01,34.0,2017-01-18 17:18:36,1.02,27.0,2017-01-17 06:46:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",411,1.01,16.0,2017-01-17 07:25:57,1.02,8.9,2017-01-17 06:46:24,,,,,,,,,,,7.4,1.06,2017-01-18 08:46:10,6.5,1.05,2017-01-17 06:46:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",49,1.01,16.0,2017-01-17 07:26:29,1.02,8.9,2017-01-17 06:46:39,,,,,,,,,,,7.4,1.06,2017-01-18 08:46:10,6.5,1.05,2017-01-17 06:46:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",160,1.01,16.0,2017-01-17 06:50:26,1.01,11.0,2017-01-17 06:50:26,,,,,,,,,,,5.25,1.04,2017-01-18 15:39:32,4.75,1.06,2017-01-17 06:50:26,,,,,,,,,,,1.04,5.25,2017-01-18 21:15:28,1.03,5.5,2017-01-17 07:30:27,,,,,,,,,,,,,,,,,,,,,,,,,,
9,australia,atp-australian-open-2017,2017,,N,"A$15,000,000",2017-01-18,22:25:00,Istomin D.,Djokovic N.,Istomin D.,3:2,"7:68, 5:7, 2:6, 7:65, 6:4",419,1.01,23.0,2017-01-17 07:01:02,1.01,21.0,2017-01-17 07:01:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
